Change Component Footprint: Designator=C5 Old Footprint=E New Footprint=FP-RAD-TH-D_10_0_5-L_12_5-MFG
Change Component Footprint: Designator=D4 Old Footprint=FP-017AG-MFG New Footprint=FAIR-DO-41-2_V
Change Component Footprint: Designator=R5 Old Footprint=FP-CF14-MFG New Footprint=RESA60-630X240
Change Component Footprint: Designator=R6 Old Footprint=FP-ZOR-25-R-52-0R-MFG New Footprint=RESA60-630X240
Change Component Footprint: Designator=D3 Old Footprint=ONSC-AXIAL_LEAD-2-59-10_P New Footprint=FAIR-DO-41-2_V
Change Component Comment : Designator=D4 Old Comment=1N5245BTR New Comment=1N4749A
Change Component Comment : Designator=D3 Old Comment=1N5929BG New Comment=1N4749A
Change Component Comment : Designator=C5 Old Comment=94SA107X0010EBP New Comment=EEUTA1H101
Change Component Comment : Designator=R5 Old Comment=PCF14JT7K50 New Comment=MFR-25FBF52-1K
Change Component Comment : Designator=R6 Old Comment=ZOR-25-R-52-0R New Comment=MFR-25FBF5210K
Change Managed Component Library Link : Designator=D3 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=83538347-C3D3-44AC-A925-304823AE5BE9 New ItemGUID=BE30C22F-3E72-47F6-BE9A-85032C73CEBD Old RevisionGUID=22B55249-F08F-4766-A52D-6BCC630EFBCF New RevisionGUID=95DC5183-4D58-42D8-90BA-66F287230FB6
Change Managed Component Library Link : Designator=D4 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=4127B20C-FE0E-4D60-99C7-24CD64B0EB61 New ItemGUID=BE30C22F-3E72-47F6-BE9A-85032C73CEBD Old RevisionGUID=622E7518-F94B-4AA4-85E8-883AA63F10C8 New RevisionGUID=95DC5183-4D58-42D8-90BA-66F287230FB6
Change Managed Component Library Link : Designator=R5 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=727A61F5-F6E4-4AC7-8060-BFC4DDA7DD58 New ItemGUID=58F7FC56-A0DD-42E6-B79F-7FF8885C42C0 Old RevisionGUID=70CEC3FE-DC44-41F3-9455-1A076776C80C New RevisionGUID=7CA994FA-D9F6-4861-AEDE-6ADB952AD05C
Change Managed Component Library Link : Designator=R6 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=AEF231A9-51CD-4093-8BB1-9C5B66FE7B0A New ItemGUID=A7752A51-3F5E-4298-A54C-C4AC008B0F72 Old RevisionGUID=4DA69001-FBE2-4CD2-9F89-FEBA62ECAA76 New RevisionGUID=5C6DE716-6D5C-4769-90B2-5513E30959CA
Change Managed Component Library Link : Designator=C5 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=E821CC95-6AC0-4565-87F1-76F5ABEFC568 Old RevisionGUID= New RevisionGUID=292977FD-6040-4790-BF96-6016AAABBF4D
Change component parameters: Designator = "C5" ("C5"); Footprint = "E"; UniqueID = "\UJBZLGJJ" ("\UJBZLGJJ")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "100uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "Radial"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Diameter"; Value = "10mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ESR (Equivalent Series Resistance)"; Value = "180mR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "12.5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.531inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Impedance"; Value = "180mR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Diameter"; Value = "0.6mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Pitch"; Value = "5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "12.5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Life (Hours)"; Value = "2000Hour"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "200"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ripple Current"; Value = "555mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "TA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "Radial"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters: Designator = "D3" ("D3"); Footprint = "ONSC-AXIAL_LEAD-2-59-10_P"; UniqueID = "\IBMKHRLP" ("\IBMKHRLP")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.fairchildsemi.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.fairchildsemi.com/ds/1N/1N4744A.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
