Altium Designer Pick and Place Locations
D:\NIT Calicut\My NITC M.Tech Project\Second Semester Project\Altium Design\Gate_Driver_Circuit\HCPL-3120 Gate Driver Circuit\Project Outputs for HCPL-3120 Gate Driver Circuit\Pick Place for HCPL-3120 Gate Driver Circuit.txt

========================================================================================================================
File Design Information:

Date:       24/03/24
Time:       15:40
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment            Layer    Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                       
ZD6        SZMMSZ4702T1G      TopLayer ONSC-SOD-123-2-425-04_V       2322.836      182.481       270      "Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"                          
ZD5        SZMMSZ4702T1G      TopLayer ONSC-SOD-123-2-425-04_V       2165.354      182.481       90       "Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"                          
ZD4        MMSZ4688T1G        TopLayer ONSC-SOD-123-2-425-04_V       1811.024      196.851       90       "Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"                          
Signal2    151031SS04000      TopLayer WL-TMRC_D3.95H5.3             511.812       461.811       270      "Led, Red, T-1 (3Mm), 635 Nm, 2 V, 30 Ma, 160 Mcd"                                                
SBR2       DFLS130L-7         TopLayer DIOD-POWERDI123-2_A_V         2217.519      708.661       180      "Schottky Barrier Rectifier, 30 V, 1 A, -40 to 125 degC, 2-Pin SMD, RoHS, Tape and Reel"          
R12        ERJ-8ENF1002V      TopLayer RESC3216X70X50LL05T20         1968.504      184.056       270      "Res Thick Film 1206 10K Ohm 1% 0.25W(1/4W) ±100ppm/C Pad SMD Automotive T/R"                     
R11        ERJ-8ENF30R0V      TopLayer RESC3216X70X50NL05T20         2204.724      511.811       0        "Res Thick Film 1206 30 Ohm 1% 0.25W ±100ppm/°C Molded SMD Punched Carrier T/R"                   
R10        ERJ-8ENF1001V      TopLayer RESC3216X70X50LL05T20         1968.504      826.772       270      "Res Thick Film 1206 1K Ohm 1% 0.25W(1/4W) ±100ppm/C Pad SMD Automotive T/R"                      
R9         ERJ-8ENF1001V      TopLayer RESC3216X70X50LL05T20         1811.024      826.771       270      "Res Thick Film 1206 1K Ohm 1% 0.25W(1/4W) ±100ppm/C Pad SMD Automotive T/R"                      
R8         ERJ8ENF3300V       TopLayer RESC3216X70X50LL05T20         511.812       669.291       0        "Res Thick Film 1206 330 Ohm 1% 0.25W ±100ppm/°C Molded SMD Punched Carrier T/R"                  
